Year,Plot,Treatment,Subtreatment,ACAM,ACAM_d,AG,AG_d,AMSIN,AMSIN_d,AVEN,BRDI,BRDI_d,BRHO,BRHO_d,BRMA,BRNI,BRNI_d,BROMUS,CACO,CAEX,CAME,CEGL,CESO,CLPU,COAR,CRSE,CRSE_d,DELO,DELO_d,ELTR,ERBO,ERCI,ERCI_d,ERMO,ESCA,EUCH,FEBR,FEMY,FEMY_d,GR,HIIN,HIIN_d,HL,HOMU,HOMU_d,LAAM,LAGR,LUBI,MEPO,BG,PEGRAS,PLCA,RUCR,STME,TRGR,TRIFO,VEPE
2021,3,G,GC,0,0,7,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,60,0,0,1,0,0,0,22,0,0,0,0,0,0,0
2021,3,G,GS,0,0,2,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,9,0,60,2,0,0,0,0,0,22,0,1,0,0,0,0,0
2021,3,S,SC,0,0,3,1,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,8,3,59,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2021,3,S,SS,0,0,1,1,1,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,16,2,60,3,0,0,0,0,0,13,0,0,0,0,0,0,0
2021,3,U,UC,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,21,0,63,2,0,1,0,0,0,23,0,0,0,0,0,0,0
2021,3,U,UM,0,0,6,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,14,2,60,2,0,0,0,0,0,18,0,0,0,0,0,0,0
2021,3,U,UMS,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,0,57,0,0,0,0,0,0,33,0,0,0,0,0,0,0
2021,3,U,US,0,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,16,0,58,2,0,1,0,0,0,21,0,0,0,0,0,0,0
2021,4,G,GC,0,0,12,9,0,0,0,0,0,13,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,2,0,0,0,1,0,47,0,0,0,0,0,0,20,0,0,0,0,0,0,0
2021,4,G,GS,0,0,8,6,0,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,58,11,1,0,0,0,0,25,0,0,0,0,0,0,0
2021,4,S,SC,0,0,0,1,0,0,0,12,3,18,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,1,13,56,0,1,0,0,0,0,14,0,1,0,0,0,0,0
2021,4,S,SS,0,0,0,1,0,0,0,13,5,26,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,16,55,0,2,0,0,0,0,8,0,1,0,0,0,0,0
2021,4,U,UC,0,0,0,13,0,0,0,3,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,2,5,54,1,0,0,0,0,0,13,0,2,0,0,0,0,0
2021,4,U,UM,0,0,0,0,0,0,0,5,0,19,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,1,0,0,1,0,0,0,5,56,2,0,0,0,0,0,17,0,1,0,0,0,0,0
2021,4,U,UMS,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,1,0,0,0,0,0,0,2,55,0,0,0,0,0,0,26,0,1,0,0,0,0,0
2021,4,U,US,0,0,0,3,0,0,0,4,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,4,0,0,2,0,0,1,0,56,3,0,0,0,0,0,21,0,0,0,0,0,0,0
2021,5,G,GC,0,0,0,2,0,0,0,1,0,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,60,17,8,0,0,0,0,16,0,0,0,0,0,0,0
2021,5,G,GS,0,0,0,3,0,0,0,2,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,28,3,0,0,0,0,17,0,0,0,0,0,0,0
2021,5,S,SC,0,0,33,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,3,58,0,0,0,0,0,0,10,0,0,0,0,0,0,0
2021,5,S,SS,0,0,3,1,0,0,0,0,0,14,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,10,5,59,1,0,0,0,0,0,12,0,0,0,0,0,0,0
